number,value,datetime_start,datetime_complete,duration,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_conv1_channels,params_conv2_channels,params_discriminator_hidden,params_domain_loss_weight,params_gamma_grl,params_learning_rate,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_warmup_epochs,params_weight_decay,state
0,0.2213455149501661,2026-01-05 13:27:03.403315,2026-01-05 13:30:21.954908,0 days 00:03:18.551593,64,0.3727780074568463,128,64,256,64,1.1075448519014384,5.4645041271999775,0.0003839629299804173,0.18493564427131048,256,3,10,0.00010677482709481354,COMPLETE
1,0.2811461794019934,2026-01-05 13:30:21.955917,2026-01-05 13:35:56.157486,0 days 00:05:34.201569,32,0.2739417822102108,32,128,64,32,0.7713490317738959,8.88677289689482,0.006161049539380964,0.20351199264000677,192,3,7,1.2315571723666024e-05,COMPLETE
2,0.11544850498338871,2026-01-05 13:35:56.158486,2026-01-05 13:37:47.861681,0 days 00:01:51.703195,128,0.5452413703502375,32,32,256,32,1.2607850486168974,12.13244787222995,0.0004187594718900631,0.3916028672163949,256,3,4,8.798929749689021e-05,COMPLETE
3,0.4210963455149502,2026-01-05 13:37:47.862681,2026-01-05 13:39:47.028867,0 days 00:01:59.166186,64,0.26448851490160175,32,64,64,32,0.6100519245276768,8.180034749718638,0.005532496914298506,0.2641531692142519,256,1,14,0.00041198396246051877,COMPLETE
4,0.31478405315614616,2026-01-05 13:39:47.030371,2026-01-05 13:41:51.048039,0 days 00:02:04.017668,128,0.3988994023569542,64,128,128,32,1.4856504541106008,9.89452760277563,0.001656260589333597,0.38120758355807116,192,2,4,3.0138649046798015e-05,COMPLETE
5,0.17068106312292358,2026-01-05 13:41:51.049040,2026-01-05 13:48:22.138994,0 days 00:06:31.089954,16,0.2905983100791752,64,96,64,96,1.159984046034179,7.579416277151556,0.0005935682912014691,0.11631005662190558,192,1,14,0.0007069476197217987,COMPLETE
6,0.06976744186046512,2026-01-05 13:48:22.139996,2026-01-05 13:49:31.636482,0 days 00:01:09.496486,64,0.442571623863836,128,32,192,96,0.8253996981592677,7.372490874968001,0.00010235832435175117,0.41195021834304957,256,3,12,2.8089151398126235e-05,PRUNED
7,0.18604651162790697,2026-01-05 13:49:31.637481,2026-01-05 13:52:46.137398,0 days 00:03:14.499917,32,0.48898084610460213,64,96,64,96,1.4666548190436695,9.281841483173142,0.00022605876925380287,0.41792452141665937,128,2,15,1.0737748632897967e-05,COMPLETE
8,0.03363787375415282,2026-01-05 13:52:46.137898,2026-01-05 13:53:20.219178,0 days 00:00:34.081280,64,0.4788062963981072,96,32,64,32,1.2019668772577035,11.499639307777652,0.004156447611486069,0.4960215400417053,64,2,13,0.00010070072316456559,PRUNED
9,0.31021594684385384,2026-01-05 13:53:20.220178,2026-01-05 13:54:43.288816,0 days 00:01:23.068638,128,0.2863284109987373,128,64,128,32,0.7708322512620742,12.951861947687036,0.0011553385460530909,0.42904022426386335,192,1,7,0.0001077955162095017,COMPLETE
10,0.3916112956810631,2026-01-05 13:54:43.289816,2026-01-05 14:00:19.206836,0 days 00:05:35.917020,16,0.2062379198633824,32,64,192,64,0.552197885493003,14.156379707788737,0.0030854733446305095,0.2982402144611688,128,1,11,0.0009600260046708154,COMPLETE
11,0.37624584717607973,2026-01-05 14:00:19.207836,2026-01-05 14:06:07.472601,0 days 00:05:48.264765,16,0.2244595355494186,32,64,192,64,0.5113875665645544,13.597049754395506,0.003221919612509777,0.28914718019718466,128,1,11,0.0009614231878645603,COMPLETE
12,0.5299003322259136,2026-01-05 14:06:07.473600,2026-01-05 14:11:26.871997,0 days 00:05:19.398397,16,0.22016425646354976,32,64,192,64,0.5231866542684058,14.990044159884533,0.009467979457884468,0.29504392290655845,128,1,8,0.00041317312878129376,COMPLETE
13,0.4563953488372093,2026-01-05 14:11:26.872997,2026-01-05 14:13:01.513451,0 days 00:01:34.640454,64,0.3456585462840369,32,64,192,64,0.6438000886850795,10.931208583498952,0.0092336267166085,0.20455638548091443,64,1,8,0.0003327528914795915,COMPLETE
14,0.5477574750830565,2026-01-05 14:13:01.513965,2026-01-05 14:19:02.500059,0 days 00:06:00.986094,16,0.3433561139162167,96,64,192,64,0.9355478827372692,14.96368189354169,0.009661358100500523,0.22388031188668656,64,1,8,0.0002900681092776547,COMPLETE
15,0.004152823920265781,2026-01-05 14:19:02.501059,2026-01-05 14:21:14.110501,0 days 00:02:11.609442,16,0.3602253854888364,96,64,192,64,0.9622676107851361,14.843335573988135,0.009479410479591275,0.3376709936892997,64,2,6,0.0002464338680486658,PRUNED
16,0.48629568106312293,2026-01-05 14:21:14.111501,2026-01-05 14:27:07.598249,0 days 00:05:53.486748,16,0.3287229135774078,96,64,192,64,0.9193378945496723,14.850276889402283,0.0021022563823975184,0.25643290123388623,128,1,9,0.00021165344082691727,COMPLETE
17,0.07516611295681064,2026-01-05 14:27:07.599749,2026-01-05 14:29:10.312482,0 days 00:02:02.712733,16,0.5798515685658387,96,96,192,64,1.34590769252419,13.119375620694989,0.0066465877790842336,0.14958937106300438,64,2,5,0.0005308377483490079,PRUNED
18,0.38911960132890366,2026-01-05 14:29:10.313986,2026-01-05 14:34:45.245947,0 days 00:05:34.931961,16,0.24418468440542557,96,128,192,64,1.066562829798433,12.285733233333573,0.001973414431562519,0.2442578096512015,64,1,9,0.00017914331391942202,COMPLETE
19,0.07267441860465117,2026-01-05 14:34:45.246950,2026-01-05 14:36:45.269151,0 days 00:02:00.022201,16,0.3212461165605427,96,64,256,64,0.6934320292489432,10.694374100792976,0.0011326595551655785,0.33314909282252647,128,2,3,5.528420221349962e-05,PRUNED
20,0.04941860465116279,2026-01-05 14:36:45.270651,2026-01-05 14:37:43.628807,0 days 00:00:58.358156,32,0.4104655409497705,96,64,128,64,0.8891335907849275,13.877603284978653,0.004077288727608686,0.33955095786692613,64,1,8,0.0003874077510753458,PRUNED
21,0.06353820598006645,2026-01-05 14:37:43.629307,2026-01-05 14:39:31.004386,0 days 00:01:47.375079,16,0.320940759316452,96,64,192,64,0.9814239332149931,14.537386959890052,0.002296190550595388,0.24097774940141237,128,1,9,0.00021683267516070222,PRUNED
22,0.3824750830564784,2026-01-05 14:39:31.005388,2026-01-05 14:44:53.091463,0 days 00:05:22.086075,16,0.3141233096563594,96,64,192,64,0.8908718151664626,14.865616623665295,0.00974170390165853,0.23314233949239832,128,1,9,0.0001609672403869662,COMPLETE
23,0.3313953488372093,2026-01-05 14:44:53.092465,2026-01-05 14:50:14.738838,0 days 00:05:21.646373,16,0.40458634206378985,96,64,192,64,1.0575201221745552,14.982835861660028,0.005645663546514381,0.15517553747037455,128,1,7,0.00027008940026152347,COMPLETE
24,0.44476744186046513,2026-01-05 14:50:14.739338,2026-01-05 14:55:36.660463,0 days 00:05:21.921125,16,0.201481758294461,96,64,192,64,0.7106059526805512,13.548237696837074,0.0027834866816885957,0.27609597455265855,128,1,10,0.000509735080634776,COMPLETE
25,0.03696013289036545,2026-01-05 14:55:36.661463,2026-01-05 14:57:24.158634,0 days 00:01:47.497171,16,0.2561744996502273,32,64,192,96,0.9022396772914419,12.661277583732426,0.0008123436371601726,0.3084489583726424,128,1,6,0.0006154113536244694,PRUNED
26,0.042774086378737544,2026-01-05 14:57:24.159634,2026-01-05 14:59:21.238649,0 days 00:01:57.079015,16,0.34875330060511356,128,32,192,64,1.0200512196788623,13.941251435644793,0.004260788947342053,0.19823134893759264,128,2,8,0.0001520734553543855,PRUNED
27,0.26744186046511625,2026-01-05 14:59:21.239150,2026-01-05 15:04:37.151797,0 days 00:05:15.912647,16,0.45068869995498684,64,96,192,64,0.8208008604375124,11.4421045395145,0.0066967213123257565,0.25513083824610505,64,1,10,0.0003002872712731729,COMPLETE
28,0.3658637873754153,2026-01-05 15:04:37.153297,2026-01-05 15:05:32.387379,0 days 00:00:55.234082,128,0.3099186087768442,96,128,256,64,1.3233921122585828,14.264200054211017,0.001585333873307125,0.1655811975229764,128,2,6,0.00020572975132625678,COMPLETE
29,0.15780730897009967,2026-01-05 15:05:32.388379,2026-01-05 15:09:16.415210,0 days 00:03:44.026831,32,0.38661569524510586,128,64,128,64,1.1097872927452308,6.683573139615017,0.0002581328767745471,0.11797156716999366,256,1,11,6.819604434949121e-05,COMPLETE
30,0.4700996677740864,2026-01-05 15:09:16.416210,2026-01-05 15:14:28.167857,0 days 00:05:11.751647,16,0.23489273882222783,32,64,256,96,0.9447184479609099,5.280655999005541,0.0077621686687341825,0.22868669976461675,64,1,8,0.00014083817344614277,COMPLETE
31,0.3318106312292359,2026-01-05 15:14:28.168858,2026-01-05 15:19:40.357608,0 days 00:05:12.188750,16,0.2399471779613481,32,64,256,96,0.9400666409125745,6.511089599270059,0.007425214798507702,0.22213768643744555,64,1,8,0.00011756461432945657,COMPLETE
32,0.26578073089701,2026-01-05 15:19:40.358608,2026-01-05 15:24:52.474070,0 days 00:05:12.115462,16,0.22619283839876883,32,64,256,96,0.8027441700009836,5.913577100162146,0.004964120659200329,0.17764108756909947,64,1,9,0.00013459078408438888,COMPLETE
33,0.2558139534883721,2026-01-05 15:24:52.475070,2026-01-05 15:30:04.941999,0 days 00:05:12.466929,16,0.2832071909131882,32,64,256,96,0.7377947789163591,5.376776459099744,0.007738293037083376,0.32106431721874296,64,1,7,0.0003585725198481754,COMPLETE
34,0.030730897009966777,2026-01-05 15:30:04.942999,2026-01-05 15:32:11.266679,0 days 00:02:06.323680,16,0.26319315070218197,32,64,256,96,0.8653151078828037,13.253264802066807,0.004957979330578829,0.2129352498599112,64,3,10,7.703147872388374e-05,PRUNED
35,0.24584717607973422,2026-01-05 15:32:11.267679,2026-01-05 15:33:31.717945,0 days 00:01:20.450266,128,0.3328335456845355,32,128,256,96,1.0264238445120315,9.50882981474177,0.00769633846548296,0.36221871181982246,192,1,8,0.0002502605776331037,COMPLETE
36,0.18272425249169436,2026-01-05 15:33:31.718945,2026-01-05 15:37:14.816490,0 days 00:03:43.097545,32,0.3678507433093309,32,64,192,32,1.137127355250465,8.58242436630581,0.003193947531204735,0.2721537509267331,256,1,5,4.230506511720057e-05,COMPLETE
37,0.39700996677740863,2026-01-05 15:37:14.817490,2026-01-05 15:39:03.168268,0 days 00:01:48.350778,64,0.2993942979538634,64,32,64,64,0.6330560131994385,5.042656485968368,0.009942067311459107,0.26713118704650857,192,1,9,1.8162451851622738e-05,COMPLETE
38,0.2009966777408638,2026-01-05 15:39:03.169268,2026-01-05 15:49:00.059291,0 days 00:09:56.890023,16,0.2707491302313968,32,96,128,96,0.5711686206269458,12.31460348776417,0.0005418398456531612,0.19740810617829185,256,2,12,0.000465320504337523,COMPLETE
39,0.20473421926910298,2026-01-05 15:49:00.060292,2026-01-05 15:54:15.033276,0 days 00:05:14.972984,16,0.22592122337779277,96,64,192,32,1.1887283515389826,10.205120483415547,0.002306195097929869,0.13430811876510912,128,1,7,0.00064885895734644,COMPLETE
40,0.038621262458471764,2026-01-05 15:54:15.033777,2026-01-05 15:54:34.626188,0 days 00:00:19.592411,128,0.42572717029350804,128,128,64,64,0.936696646084175,7.822685374325012,0.001530846305967169,0.22600000369568113,64,3,5,0.0001936504193490838,PRUNED
41,0.01910299003322259,2026-01-05 15:54:34.627188,2026-01-05 15:55:04.494741,0 days 00:00:29.867553,64,0.3527328818320135,32,64,192,64,0.6504979540043054,11.757633037490592,0.008331290551130388,0.1814082275023215,64,1,8,0.00032477905116913623,PRUNED
42,0.046511627906976744,2026-01-05 15:55:04.496249,2026-01-05 15:55:34.309595,0 days 00:00:29.813346,64,0.33605454280476477,32,64,192,64,0.5809003082877738,10.687368298037013,0.00587473623733852,0.21012459561420196,64,1,7,0.00039780699612757133,PRUNED
43,0.24584717607973422,2026-01-05 15:55:34.310596,2026-01-05 15:57:03.959666,0 days 00:01:29.649070,64,0.3801561091776594,32,64,192,64,0.5087455506520058,14.500664139028826,0.004035886074724987,0.24749238093591316,64,1,8,0.0003066848312330557,COMPLETE
44,0.4742524916943522,2026-01-05 15:57:03.960667,2026-01-05 15:58:33.497912,0 days 00:01:29.537245,64,0.29388722520628824,32,64,192,64,0.6833662559036466,8.845378434167834,0.006295245933596789,0.298993932087764,64,1,9,0.00012865661881658388,COMPLETE
45,0.23837209302325582,2026-01-05 15:58:33.498915,2026-01-05 16:00:22.147127,0 days 00:01:48.648212,64,0.29365003442864634,64,32,192,32,0.7594687072160508,8.32929350000298,0.006184854833729399,0.28564814068410455,192,1,10,9.366177637109928e-05,COMPLETE
46,0.32059800664451826,2026-01-05 16:00:22.148129,2026-01-05 16:01:59.450817,0 days 00:01:37.302688,64,0.24540475842051626,32,64,256,64,0.8458412144258634,6.806395560352193,0.004759572782556587,0.30564819624503764,64,2,9,0.00013795823018018083,COMPLETE
47,0.2537375415282392,2026-01-05 16:01:59.451819,2026-01-05 16:04:47.214579,0 days 00:02:47.762760,32,0.2737415515451306,32,64,192,96,0.7002821865780893,5.9519265508655455,0.0036767013097288473,0.3606308670662221,128,1,11,0.00011782270501866899,COMPLETE
48,0.14493355481727574,2026-01-05 16:04:47.216084,2026-01-05 16:10:01.649653,0 days 00:05:14.433569,16,0.21799085562309603,96,96,64,64,0.7944001909994773,9.04650522846719,0.00013829205152700097,0.4496070653663524,64,1,10,0.00023665986620104433,COMPLETE
49,0.07931893687707642,2026-01-05 16:10:01.650653,2026-01-05 16:14:59.057824,0 days 00:04:57.407171,16,0.295576115285329,32,64,192,64,1.0678491505955876,14.483084076763648,0.0008460444358475195,0.2948676087785878,256,1,6,0.0007851778948276673,PRUNED
